ticker,ref_date,volume,price_open,price_high,price_low,price_close,price_adjusted,ret_adjusted_prices,ret_closing_prices,cumret_adjusted_prices
BDX,2010-01-04,355228162,82.917076,83.414635,64.848778,82.458534,67.567032,NA,NA,1
BDX,2011-01-03,375919426,72.858536,87.560974,67.892685,72.89756,61.020519,-0.09688916038224082,-0.11594887195059767,0.9031108396177592
BDX,2012-01-03,279848429,75.52195,78.595123,69.814636,76.282928,65.438843,0.07240718486842113,0.046440072891328565,0.9685025531386373
BDX,2013-01-02,236207828,108.048782,108.234146,76.809753,107.79512,94.409569,0.4427145204874725,0.41309625660934257,1.397272696542302
BDX,2014-01-02,256589851,136.809753,139.082932,102.643906,135.765854,121.102264,0.2827329399205285,0.2594805219382843,1.7923277139063916
BDX,2015-01-02,286644386,150.9561,153.658539,125.72683,150.331711,136.39679,0.1262943028051069,0.10728660094459408,2.0186884929324704
BDX,2016-01-04,262181838,162.887802,177.326828,126.341461,161.512192,148.978516,0.09224356379647936,0.074372073101729,2.2048995137155054
BDX,2017-01-03,337808804,211.092682,224.087799,157.560974,208.83902,195.522537,0.3124210272036807,0.2930232536253363,2.8937564846713997
BDX,2018-01-02,303383256,218.273178,259.385376,203.531708,219.824387,208.455658,0.06614644633012312,0.05260208077973161,3.085168192677162
BDX,2019-01-02,301416279,263.473175,268.760986,205.58049,265.336578,254.738998,0.2220296654169014,0.20703886234424007,3.7701670542521386
BDX,2020-01-02,473146013,241.199997,279.726837,192.926834,244.117065,237.533478,-0.06754175895753511,-0.07997206099492238,3.5155233398442007
BDX,2021-01-04,352419872,247.082932,260.848785,229.395126,245.346344,242.00087,0.01880742048495576,0.005035612729491046,3.5816412655213266
BDX,2022-01-03,312060806,255.809998,277.290009,215.899994,254.300003,254.300003,0.050822680926725594,0.03649395729328675,3.7636698767529104
BKR,2010-01-04,1466278400,56.610001,57.450001,35.619999,57.169998,31.279945,NA,NA,1
BKR,2011-01-03,1486198600,48.27,81,41.91,48.639999,26.855719,-0.1414396988229999,-0.14920411576715464,0.8585603011770001
BKR,2012-01-03,1422808500,39.77,52.959999,37.080002,40.849998,22.854105,-0.1490041655559473,-0.16015627385189712,0.7306312399206584
BKR,2013-01-02,891681900,54.560001,58.830002,40.98,55.259998,31.303608,0.3697148936700869,0.35275399523887385,1.0007564910999684
BKR,2014-01-02,1285525600,55.759998,75.639999,47.509998,56.07,32.096962,0.025343851737473777,0.014658017179081329,1.0261195152357205
BKR,2015-01-02,963921900,45.380001,70.449997,42.779999,46.150002,26.727207,-0.16729792059447868,-0.17692166934189402,0.8544518540553699
BKR,2016-01-04,963129600,64.639999,68.589996,37.580002,64.970001,38.169518,0.4281147296835017,0.4078006107128662,1.2202552785818515
BKR,2017-01-03,819800900,31.58,65.800003,29.620001,31.639999,27.121494,-0.2894462539453603,-0.5130060256579032,0.8670569593392826
BKR,2018-01-02,1270982100,21.57,37.759998,20.09,21.5,18.869555,-0.30425827574247943,-0.32048038307460125,0.6032477039201953
BKR,2019-01-02,1293829300,25.4,28.65,20.43,25.629999,23.212223,0.23014151632086732,0.19209297674418613,0.7420800452174707
BKR,2020-01-02,1784613900,21.17,25.99,9.12,20.85,19.695656,-0.15149634742006401,-0.1865001633437442,0.629657628873708
BKR,2021-01-04,2112400100,23.82,27.66,18.75,24.059999,23.443352,0.19028033389697718,0.1539567865707434,0.7494690927365761
BKR,2022-01-03,2531409900,28.9,39.779999,20.42,29.530001,29.530001,0.2596321976481861,0.22734838850159544,0.9440554003531656
CBOE,2010-06-15,80826200,22.65,34.18,19.6,22.860001,20.236809,NA,NA,1
CBOE,2011-01-03,155103200,25.809999,29.77,21.549999,25.860001,23.280054,0.15038166343320225,0.13123359005977298,1.1503816634332023
CBOE,2012-01-03,148082300,29.4,30.950001,24.440001,29.459999,27.037708,0.1614108798888525,0.1392110541681726,1.3360657799359572
CBOE,2013-01-02,133495900,51.950001,54.790001,29.74,51.959999,48.693562,0.8009500657378208,0.7637474801000503,2.406187754205715
CBOE,2014-01-02,166721300,64.25,65.389999,46.52,63.419998,60.291683,0.23818592281254758,0.22055425751644053,2.9793078049014547
CBOE,2015-01-02,159981500,65.449997,72.529999,55.040001,64.900002,62.561359,0.037644926913053656,0.023336550720168825,3.09146362946846
CBOE,2016-01-04,157103500,73.760002,77.290001,58.43,73.889999,72.269562,0.15517890204399154,0.13852075073895986,3.5711935611983088
CBOE,2017-01-03,278296400,125.07,128.320007,72.540001,124.589996,123.208893,0.704851801924578,0.6861550640973753,6.088355777830388
CBOE,2018-01-02,274873800,95.980003,138.539993,87.870003,97.830002,97.830002,-0.2059826233484624,-0.2147844518752533,4.834260282834116
CBOE,2019-01-02,173456000,118.589996,124.879997,89.529999,120,120,0.2266175768860763,0.2266175768860763,5.929788634166581
CBOE,2020-01-02,224246400,92.080002,127.93,72.010002,93.120003,93.120003,-0.22399997500000002,-0.22399997500000002,4.601516128357983
CBOE,2021-01-04,154357000,129.779999,139,87,130.399994,130.399994,0.40034353306453396,0.40034353306453396,6.443703352638253
CBOE,2022-01-03,165577000,127.190002,130.539993,103.82,125.470001,125.470001,-0.03780669652484803,-0.03780669652484803,6.200088215488913
CCL,2010-01-04,1190100700,45.900002,47.220001,29.68,46.110001,34.747623,NA,NA,1
CCL,2011-01-03,1295764400,32.970001,48.139999,28.52,32.639999,25.282871,-0.2723855959873859,-0.2921275581841778,0.7276144040126141
CCL,2012-01-03,1138939700,36.110001,39.950001,29.15,36.77,29.737425000000002,0.1761886140225135,0.12653189725894287,0.8558117773984139
CCL,2013-01-02,1167093900,40.169998,40.470001,31.440001,40.169998,33.418854,0.12379784059985033,0.09246663040522152,0.9617594274002572
CCL,2014-01-02,999280200,45.759998,46.310001,33.110001,45.330002,38.677002,0.15734076339062963,0.12845417617396948,1.1130833899055486
CCL,2015-01-02,1016733000,54.939999,55.77,42.509998,54.48,47.549576,0.22940180316974934,0.20185302440533737,1.3684267266281784
CCL,2016-01-04,1222304900,52.25,54.900002,40.52,52.060001,46.718201,-0.01748438303634925,-0.044419952276064545,1.3445006295826338
CCL,2017-01-03,792341800,66.900002,69.889999,51.740002,66.370003,61.090637,0.3076410412293058,0.274875177201783,1.7581242032008926
CCL,2018-01-02,974540500,48.900002,72.699997,45.639999,49.299999,46.795437,-0.23399985172850635,-0.25719456423709963,1.3467234003315853
CCL,2019-01-02,1032989500,51.029999,59.240002,39.919998,50.830002,50.243595,0.07368577410656507,0.031034544240051698,1.4459577565924437
CCL,2020-01-02,11518326700,21.620001,51.939999,7.8,21.66,21.66,-0.5689002747514385,-0.5738737134025689,0.6233519915880289
CCL,2021-01-04,9031243700,20.51,31.52,16.32,20.120001,20.120001,-0.07109875346260397,-0.07109875346260397,0.5790324420176884
CCL,2022-01-03,12385824100,7.98,23.860001,6.11,8.06,8.06,-0.5994035984391849,-0.5994035984391849,0.23195831265925732
CF,2010-01-04,3076877000,27.298,27.747999,11.512,27.030001,20.390657,NA,NA,1
CF,2011-01-03,3030661000,28.926001,38.540001,23.068001,28.996,22.012737,0.07955015868296944,0.07273395957329054,1.0795501586829694
CF,2012-01-03,1785933000,39.773998,45.598,29.916,40.632,31.106356,0.41310714792076975,0.40129673058352866,1.5255200457739053
CF,2013-01-02,1218866000,46.360001,47.880001,33.866001,46.608002,36.062061,0.15931486799675265,0.14707624532388275,1.7685580704927752
CF,2014-01-02,1009468000,54.612,58.057999,44.023998,54.507999,43.0313,0.1932568135803443,0.1694987268495225,2.110343967828011
CF,2015-01-02,755982600,40.75,70.32,39.639999,40.810001,32.919697,-0.23498251272910653,-0.2513025290104669,1.614450039545072
CF,2016-01-04,1302872200,31.809999,40.950001,20.77,31.48,26.58572,-0.19240690459575016,-0.2286204550693346,1.3038187048117182
CF,2017-01-03,1102625600,42.939999,43.419998,25.040001,42.540001,37.283203,0.40237702796839825,0.35133421219822103,1.8284454002634638
CF,2018-01-02,763176100,42.52,56.509998,35.700001,43.509998,39.196598,0.05132056384747852,0.022801997583403955,1.9222822491693135
CF,2019-01-02,594188000,47.200001,55.150002,38.900002,47.740002,44.185715,0.12728443932812739,0.09721912650972753,2.166958867485241
CF,2020-01-02,688720700,37.93,48.189999,19.73,38.709999,37.220604,-0.15763264213332295,-0.1891496150335309,1.8253754158093094
CF,2021-01-04,605494400,71.709999,74.769997,38.060001,70.779999,69.670898,0.8718368460651522,0.8284681175011137,3.4168049612133635
CF,2022-01-03,832199800,85.349998,119.599998,63.099998,85.199997,85.199997,0.2228921895050069,0.20372984181590614,4.17838410012978
CI,2010-01-04,865657100,36.240002,39.259998,29.120001,36.66,35.263992,NA,NA,1
CI,2011-01-03,749612800,42.360001,52.950001,36.759998,42,40.437859,0.14671813106128195,0.14566284779050753,1.146718131061282
CI,2012-01-03,691230400,52.84,54.529999,39.009998,53.459999,51.518894,0.274026253467079,0.2728571190476192,1.4609490042987758
CI,2013-01-02,435430100,86.690002,88.57,53.91,87.480003,84.360909,0.637475156201917,0.6363637230894821,2.392267699017173
CI,2014-01-02,431074000,104.480003,105.730003,73.470001,102.910004,99.290993,0.1769786999331644,0.1763831786791321,2.815648126281335
CI,2015-01-02,506240300,146.429993,170.679993,100.669998,146.330002,141.230331,0.42238814149033654,0.4219220319921473,4.004944505432056
CI,2016-01-04,361927500,135.570007,148.990005,115.029999,133.389999,128.778122,-0.08816950942358137,-0.08843027966335992,3.6518305131194446
CI,2017-01-03,337942800,206,212.460007,133.520004,203.089996,196.119949,0.5229290966054001,0.5225279070584596,5.56147894430103
CI,2018-01-02,609505100,191.070007,227.130005,163.020004,189.919998,183.444595,-0.06463062051887436,-0.06484808833222888,5.2020371091282005
CI,2019-01-02,592297400,202.880005,207.279999,141.949997,204.490005,197.566086,0.07697959702764767,0.07671654988117682,5.602487829511759
CI,2020-01-02,534702000,204.050003,224.960007,118.5,208.179993,201.172272,0.01825306191468501,0.018044833046974684,5.7047503867401055
CI,2021-01-04,475160300,231.110001,272.809998,190.880005,229.630005,225.896027,0.12289842309878574,0.10303589548108016,6.405855213442653
CI,2022-01-03,450678900,330.700012,340.109985,213.160004,331.339996,331.339996,0.4667809806145904,0.4429298819202654,9.395986591648501
EIX,2010-01-04,571004400,38.59,39.369999,30.370001,38.599998,25.549295,NA,NA,1
EIX,2011-01-03,615493600,41.450001,41.57,32.639999,41.400002,28.33744,0.10912806008932918,0.07253896748906574,1.1091280600893292
EIX,2012-01-03,475579900,44.689999,47.959999,39.599998,45.189999,31.854231,0.12410404750746706,0.09154581683353546,1.24677534155052
EIX,2013-01-02,566528200,46.240002,54.189999,44.259998,46.299999,33.595802,0.05467314530368039,0.024562956949833126,1.3149404709601573
EIX,2014-01-02,533918000,67.290001,68.739998,44.740002,65.480003,48.731346,0.45051890709440423,0.4142549549515109,1.9073460148313288
