ref_date,ticker,price_adjusted,ret_adjusted_prices,cumret_adjusted_prices
2018-01-02,BA,282.886383,NA,1
2018-01-03,BA,283.80127,0.0032341146657453024,1.0032341146657453
2018-01-04,BA,282.724426,-0.003794359341661835,0.9994274839308895
2018-01-05,BA,294.322357,0.041022033943399094,1.0404260321006684
2018-01-08,BA,295.57077,0.004241651951706782,1.0448391572103348
2018-01-09,BA,303.461487,0.026696540392001644,1.0727327479739455
2018-01-10,BA,305.205475,0.005746982977118176,1.078897724815549
2018-01-11,BA,312.696045,0.024542711758365643,1.1053768006924534
2018-01-12,BA,320.405762,0.024655626840435207,1.1326305586084007
2018-01-16,BA,319.40509,-0.003123139839164346,1.1290931949877558
2018-01-17,BA,334.51004,0.04729088694234651,1.1824890136192945
2018-01-18,BA,324.170105,-0.030910686567135692,1.145937466350227
2018-01-19,BA,321.854279,-0.007143860474117303,1.1377510489785576
2018-01-22,BA,322.111572,7.994083558540144e-4,1.1386605766739926
2018-01-23,BA,319.81488,-0.0071301132888202945,1.1305417977647936
2018-01-24,BA,318.957214,-0.002681757646798677,1.1275099586536124
2018-01-25,BA,326.981384,0.02515751219221518,1.1558753041852847
2018-01-26,BA,327.086212,3.2059317480892524e-4,1.1562458699187368
2018-01-29,BA,324.799042,-0.006992560114395752,1.1481607511663081
2018-01-30,BA,321.835205,-0.009125140830926526,1.1376836226153733
2018-01-31,BA,337.712067,0.049332272396986676,1.1938081409878254
2018-02-01,BA,340.161255,0.007252296377079137,1.2024659914436389
2018-02-02,BA,332.508728,-0.022496762601607823,1.1754143994976245
2018-02-05,BA,313.420349,-0.0574071517304654,1.1079372067194904
2018-02-06,BA,324.884766,0.03657840671985224,1.148463784486933
2018-02-07,BA,331.75592,0.021149511208537142,1.1727532321695382
2018-02-08,BA,315.714447,-0.048353238127596954,1.1160468158695356
2018-02-09,BA,318.750336,0.009615933096656759,1.1267786473836738
2018-02-12,BA,329.256287,0.03295981153099081,1.1639170592385846
2018-02-13,BA,328.643341,-0.0018616075810876653,1.1617503024173488
2018-02-14,BA,330.261841,0.004924791706033549,1.1674716806711756
2018-02-15,BA,341.380737,0.033666910976857256,1.206776845812334
2018-02-16,BA,340.020782,-0.003983689917454236,1.2019694210590541
2018-02-20,BA,338.402344,-0.004759820827657468,1.1962482619744899
2018-02-21,BA,337.463745,-0.0027736184947939613,1.1929303256707124
2018-02-22,BA,340.863586,0.010074685208036227,1.2049487231769649
2018-02-23,BA,341.572296,0.0020791601951872796,1.2074540045994362
2018-02-26,BA,348.10379,0.019121849390267842,1.2305427582210624
2018-02-27,BA,349.214722,0.003191381512967606,1.2344698896305653
2018-02-28,BA,346.887482,-0.0066642093055859775,1.2262431239046236
2018-03-01,BA,334.897156,-0.034565461777026574,1.1838574640759567
2018-03-02,BA,330.089508,-0.014355595184570524,1.16686248556545
2018-03-05,BA,337.827637,0.023442517294430143,1.1942166795635398
2018-03-06,BA,334.159698,-0.010857427274370668,1.1812505588153381
2018-03-07,BA,332.359192,-0.005388160244267359,1.1748857915158109
2018-03-08,BA,333.977783,0.004870005220135365,1.1806074914535556
2018-03-09,BA,339.522797,0.016602942717300673,1.2002090500057752
2018-03-12,BA,329.629791,-0.029137972729412986,1.1652373914371121
2018-03-13,BA,324.343323,-0.016037591699349818,1.1465497899204282
2018-03-14,BA,316.289063,-0.0248325136633073,1.1180780765965672
2018-03-15,BA,316.020905,-8.47825711886796e-4,1.1171301412553316
2018-03-16,BA,316.490143,0.0014848321505818163,1.1187888920054516
2018-03-19,BA,317.725647,0.0039037677075459687,1.1231563839536236
