ref_date,BA,NOC,SO,WY
2018-05-30,344.748749,306.988281,36.901127,30.80475
2018-05-31,338.945038,302.988556,37.033085,30.887489
2018-06-01,343.333954,306.649902,36.455734,31.18536
2018-06-04,347.193451,309.270477,36.233036,31.392212
2018-06-05,346.587067,305.906433,36.101074,31.623886
2018-06-06,357.617065,311.509979,35.375263,31.731464
2018-06-07,354.700775,314.158386,35.614445,31.806559
2018-06-08,355.634338,314.678833,35.696926,31.798199
2018-06-11,357.020325,310.710724,35.334015,31.639677
2018-06-12,356.712311,306.055206,35.828896,32.006798
2018-06-13,350.196381,304.633331,36.109325,31.030577
2018-06-14,348.820038,299.745453,36.463985,31.08898
2018-06-15,344.450409,298.778961,36.645432,30.830326
2018-06-18,341.428192,299.615295,36.76091,30.972172
2018-06-19,328.319305,291.642151,37.165062,30.863707
2018-06-20,329.830383,290.006683,37.156815,30.363071
2018-06-21,324.989166,291.279785,37.354763,29.829073
2018-06-22,326.192322,289.988037,37.783653,29.703913
2018-06-25,318.771576,291.53067,38.43523,29.50366
2018-06-26,318.867798,287.46048,38.014595,30.162825
2018-06-27,317.44339,284.904907,38.21254,29.728945
2018-06-28,322.092102,285.955017,38.220783,30.129448
2018-06-29,322.919891,285.936462,38.196045,30.421476
2018-07-02,323.468475,287.023712,38.682678,30.287977
2018-07-03,320.436646,286.995819,38.765144,30.513266
2018-07-05,320.677277,286.44754,39.227032,30.905415
2018-07-06,322.08252,285.620514,39.391983,31.097328
2018-07-09,329.089294,291.512085,38.245529,30.73019
2018-07-10,334.13269,292.831665,39.045574,30.872044
2018-07-11,327.818848,289.718597,39.400238,30.496576
2018-07-12,333.045105,299.345825,39.573441,30.421476
2018-07-13,337.626465,298.974152,39.556942,30.404793
2018-07-16,342.737244,297.673065,39.350754,30.246262
2018-07-17,343.487946,298.481598,39.301262,30.221235
2018-07-18,346.712219,300.814148,39.218781,29.38685
2018-07-19,341.996124,301.2323,39.523949,29.74563
2018-07-20,341.582184,301.018524,39.194042,29.103163
2018-07-23,340.013397,294.272034,39.06208,28.852846
2018-07-24,344.825745,293.807404,39.210537,28.827814
2018-07-25,342.563995,274.599304,39.218781,28.978004
2018-07-26,345.836395,274.42276,39.655922,29.128187
2018-07-27,347.116455,280.314362,39.565193,28.227064
2018-07-30,337.886353,273.976685,39.515705,28.469038
2018-07-31,342.929688,279.236359,40.084812,28.519096
2018-08-01,339.522583,279.617432,39.655922,28.427315
2018-08-02,336.606232,277.563751,39.9776,28.435663
2018-08-03,335.364624,276.225647,40.356998,28.343882
2018-08-06,333.564819,274.534241,40.406487,28.460695
2018-08-07,337.597595,274.376312,40.480713,28.585848
2018-08-08,334.729401,274.088287,38.666176,28.644253
2018-08-09,332.456421,270.817261,38.608437,28.736031
2018-08-10,328.287628,270.715027,38.047581,28.410627
2018-08-13,327.272095,271.36554,38.270283,28.302155
2018-08-14,328.02655,273.075378,38.53421,28.619215
2018-08-15,320.888397,270.89151,38.88887,28.7861
2018-08-16,334.642365,271.337585,39.177547,29.520357
2018-08-17,335.048615,273.567932,39.236019,29.74563
2018-08-20,339.246368,276.457886,38.935299,29.612135
2018-08-21,342.177063,277.089813,38.425739,29.41188
2018-08-22,338.559662,276.216339,37.807583,29.4536
2018-08-23,336.093231,276.532196,37.707348,28.852846
2018-08-24,337.930939,278.081055,37.615448,29.103163
2018-08-27,342.148041,280.031097,37.281322,29.445255
